,HR
1349,73.07
1350,72.7
1351,72.35
1352,72.02
1353,71.77
1354,71.62
1355,71.4
1356,71.17
1357,70.93
1358,70.73
1359,70.53
1360,70.28
1361,70.05
1362,69.83
1363,69.67
1364,69.45
1365,69.22
1366,69.0
1367,68.77
1368,68.55
1369,68.38
1370,68.2
1371,68.08
1372,67.93
1373,67.75
1374,67.62
1375,67.47
1376,67.32
1377,67.15
1378,66.95
1379,66.75
1380,66.53
1381,66.28
1382,66.02
1383,65.7
1384,65.27
1385,64.83
1386,64.38
1387,63.97
1388,63.53
1389,63.23
1390,62.97
1391,62.78
1392,62.58
1393,62.37
1394,62.1
1395,61.82
1396,61.37
1397,60.92
1398,60.82
1399,60.67
1400,60.6
1401,60.52
1402,60.47
1403,60.42
1404,60.37
1405,60.33
1406,60.33
1407,60.38
1408,60.42
1409,60.47
1410,60.53
1411,60.6
1412,60.65
1413,60.7
1414,60.73
1415,60.8
1416,60.87
1417,60.97
1418,61.05
1419,61.13
1420,61.25
1421,61.37
1422,61.47
1423,61.57
1424,61.7
1425,61.8
1426,61.9
1427,62.0
1428,62.1
1429,62.2
1430,62.27
1431,62.3
1432,62.43
1433,62.53
1434,62.62
1435,62.72
1436,62.83
1437,62.93
1438,63.07
1439,63.25
1440,63.48
1441,63.72
1442,63.95
1443,64.2
1444,64.55
1445,64.75
1446,64.98
1447,65.25
1448,65.52
1449,65.63
1450,65.75
1451,65.78
1452,65.83
1453,65.87
1454,65.88
1455,65.93
1456,66.17
1457,66.38
1458,66.27
1459,66.25
1460,66.07
1461,65.9
1462,65.72
1463,65.58
1464,65.45
1465,65.42
1466,65.35
1467,65.28
1468,65.22
1469,65.2
1470,65.2
1471,65.15
1472,65.12
1473,65.07
1474,64.97
1475,64.93
1476,64.95
1477,65.0
1478,65.03
1479,65.1
1480,65.17
1481,65.23
1482,65.25
1483,65.18
1484,65.22
1485,65.32
1486,65.45
1487,65.6
1488,65.75
1489,65.9
1490,66.03
1491,66.2
1492,66.25
1493,66.37
1494,66.45
1495,66.52
1496,66.55
1497,66.55
1498,66.55
1499,66.42
1500,66.3
1501,66.2
1502,66.12
1503,66.03
1504,65.9
1505,65.93
1506,65.78
1507,65.62
1508,65.5
1509,65.4
1510,65.3
1511,65.2
1512,65.12
1513,65.07
1514,65.03
1515,64.93
1516,64.82
1517,64.72
1518,64.58
1519,64.4
1520,64.28
1521,64.18
1522,64.12
1523,64.03
1524,63.98
1525,63.83
1526,63.65
1527,63.4
1528,63.17
1529,62.88
1530,62.6
1531,62.52
1532,62.42
1533,62.3
1534,62.23
1535,62.08
1536,62.1
1537,62.03
1538,62.17
1539,62.32
1540,62.52
1541,62.7
1542,62.98
1543,63.37
1544,63.63
1545,63.92
1546,64.27
1547,64.58
1548,64.85
1549,65.08
1550,65.35
1551,65.57
1552,65.82
1553,66.08
1554,66.4
1555,66.75
1556,67.15
1557,67.65
1558,68.05
1559,68.5
1560,68.88
1561,69.3
1562,69.7
1563,70.15
1564,70.75
1565,71.38
1566,72.08
1567,72.72
1568,73.32
1569,73.92
1570,74.53
1571,75.2
1572,75.77
1573,76.3
1574,76.83
1575,77.4
1576,77.97
1577,78.53
1578,78.98
1579,79.42
1580,79.93
1581,80.45
1582,80.92
1583,81.03
1584,81.13
1585,81.23
1586,81.38
1587,81.62
1588,81.87
1589,82.17
1590,82.38
1591,82.45
1592,82.53
1593,82.62
1594,82.65
1595,82.73
1596,82.68
1597,82.68
1598,82.52
1599,82.32
1600,82.08
1601,81.85
1602,81.62
1603,81.43
1604,81.23
1605,80.98
1606,80.77
1607,80.57
1608,80.4
1609,80.32
1610,80.23
1611,80.15
1612,80.07
1613,79.85
1614,79.55
1615,79.22
1616,78.85
1617,78.43
1618,78.12
1619,77.82
1620,77.48
1621,77.13
1622,76.82
1623,76.47
1624,76.02
1625,75.5
1626,75.05
1627,74.63
1628,74.15
1629,73.73
1630,73.3
1631,72.85
1632,72.52
1633,72.2
1634,71.92
1635,71.65
1636,71.4
1637,71.15
1638,71.0
1639,70.87
1640,70.72
1641,70.57
1642,70.45
1643,70.65
1644,70.85
1645,71.05
1646,71.27
1647,71.45
1648,71.62
1649,71.68
1650,71.78
1651,71.88
1652,71.98
1653,72.1
1654,72.23
1655,72.33
1656,72.32
1657,72.23
1658,72.22
1659,72.22
1660,72.25
1661,72.32
1662,72.37
1663,72.37
1664,72.43
1665,72.5
1666,72.43
1667,72.4
1668,72.42
1669,72.37
1670,72.33
1671,72.32
1672,72.28
1673,72.33
1674,72.48
1675,72.63
1676,72.78
1677,72.97
1678,73.15
1679,73.37
1680,73.65
1681,73.97
1682,74.28
1683,74.67
1684,75.07
1685,75.48
1686,75.93
1687,76.65
1688,77.4
1689,78.13
1690,78.82
1691,79.67
1692,80.5
1693,80.55
1694,80.5
1695,80.47
1696,80.43
1697,80.38
1698,80.32
1699,80.23
1700,80.13
1701,80.0
1702,79.87
1703,79.73
1704,79.6
1705,79.48
1706,79.38
1707,79.32
1708,79.28
1709,79.3
1710,79.33
1711,79.37
1712,79.38
1713,79.37
1714,79.35
1715,79.48
1716,79.67
1717,79.88
1718,80.02
1719,80.12
1720,80.27
1721,80.33
1722,80.3
1723,80.2
1724,80.02
1725,79.82
1726,79.65
1727,79.48
1728,79.38
1729,79.28
1730,79.13
1731,78.95
1732,78.73
1733,78.47
1734,78.12
1735,77.7
1736,77.23
1737,76.77
1738,76.32
1739,75.87
1740,75.43
1741,74.97
1742,74.5
1743,73.98
1744,73.47
1745,73.0
1746,72.52
1747,71.78
1748,71.08
1749,70.37
1750,69.7
1751,68.85
1752,67.97
1753,67.87
1754,67.82
1755,67.73
1756,67.63
1757,67.57
1758,67.52
1759,67.47
1760,67.43
1761,67.43
1762,67.43
1763,67.45
1764,67.45
1765,67.43
1766,67.37
1767,67.27
1768,67.13
1769,67.03
1770,66.93
1771,66.83
1772,66.77
1773,66.78
1774,66.75
1775,66.52
1776,66.32
1777,66.15
1778,65.97
1779,65.8
1780,65.52
1781,65.35
1782,65.2
1783,65.1
1784,65.03
1785,64.98
1786,64.93
1787,64.9
1788,64.88
1789,64.93
1790,65.0
1791,65.07
1792,65.17
1793,65.32
1794,65.52
1795,65.78
1796,66.1
1797,66.38
1798,66.65
1799,66.9
1800,67.12
1801,67.32
1802,67.47
1803,67.58
1804,67.7
1805,67.73
1806,67.78
1807,67.82
1808,67.85
1809,67.8
1810,67.75
1811,67.68
1812,67.65
1813,67.67
1814,67.7
1815,67.75
1816,67.78
1817,67.82
1818,67.87
1819,67.97
1820,68.15
1821,68.37
1822,68.6
1823,68.8
1824,69.02
1825,69.23
1826,69.4
1827,69.58
1828,69.77
1829,69.9
1830,69.98
1831,70.2
1832,70.38
1833,70.48
1834,70.67
1835,70.92
1836,71.13
1837,71.3
1838,71.47
1839,71.62
1840,71.75
1841,71.83
1842,72.02
1843,72.2
1844,72.4
1845,72.58
1846,72.77
1847,72.9
1848,72.88
1849,72.8
1850,72.73
1851,72.67
1852,72.58
1853,72.52
1854,72.47
1855,72.42
1856,72.35
1857,72.3
1858,72.25
1859,72.18
1860,72.12
1861,72.03
1862,71.97
1863,71.9
1864,71.83
1865,71.77
1866,71.77
1867,71.8
1868,71.88
1869,72.0
1870,72.17
1871,72.35
1872,72.52
1873,72.6
1874,72.62
1875,72.6
1876,72.57
1877,72.53
1878,72.52
1879,72.45
1880,72.32
1881,72.15
1882,71.97
1883,71.82
1884,71.67
1885,71.5
1886,71.4
1887,71.3
1888,71.2
1889,71.12
1890,71.1
1891,70.95
1892,70.82
1893,70.7
1894,70.57
1895,70.43
1896,70.32
1897,70.27
1898,70.25
1899,70.33
1900,70.43
1901,70.53
1902,70.58
1903,70.6
1904,70.57
1905,70.55
1906,70.5
1907,70.48
1908,70.48
1909,70.48
1910,70.5
1911,70.53
1912,70.57
1913,70.6
1914,70.6
1915,70.62
1916,70.63
1917,70.65
1918,70.67
1919,70.72
1920,70.73
1921,70.78
1922,70.83
1923,70.9
1924,70.98
1925,71.1
1926,71.17
1927,71.22
1928,71.23
1929,71.28
1930,71.27
1931,71.23
1932,71.17
1933,71.12
1934,71.2
1935,71.28
1936,71.42
1937,71.53
1938,71.65
1939,71.82
1940,71.97
1941,72.17
1942,72.43
1943,72.68
1944,72.9
1945,73.12
1946,73.32
1947,73.47
1948,73.58
1949,73.68
1950,73.75
1951,73.78
1952,73.78
1953,73.78
1954,73.78
1955,73.8
1956,73.8
1957,73.75
1958,73.68
1959,73.53
1960,73.38
1961,73.25
1962,73.17
1963,73.1
1964,73.02
1965,72.97
1966,72.95
1967,72.95
1968,73.0
1969,73.07
1970,73.13
1971,73.17
1972,73.22
1973,73.27
1974,73.35
1975,73.45
1976,73.53
1977,73.6
1978,73.68
