,HRV
628,151.57543474971183
629,151.6375200986454
630,151.76473875814102
631,151.8252255666958
632,151.8252255666958
633,151.8252255666958
634,151.8252255666958
635,151.84097971336115
636,151.79646390155185
637,151.75167200146947
638,151.69057007030418
639,151.62897205341542
640,151.62897205341542
641,161.2576490566372
642,160.8072318623271
643,134.94915795135572
644,135.03861502643915
645,119.58966889859423
646,119.40896089409857
647,119.95837285115992
648,119.6914795794504
649,218.36307107546432
650,257.1914742380596
651,257.1914742380596
652,257.1796029209779
653,257.1796029209779
654,257.2146119579125
655,257.0829680363377
656,304.2632324755798
657,317.99503683156416
658,316.70530085751045
659,317.60599152346765
660,317.9150309632188
661,318.46326326361907
662,332.79171846601645
663,339.2113080241627
664,339.31274082298637
665,340.1634297335068
666,340.3934475209865
667,337.0180857022063
668,330.11087237009843
669,330.1224893495413
670,330.08790326940516
671,329.90692874995585
672,329.90692874995585
673,329.28399560404944
674,299.00909575011565
675,344.58067329358147
676,349.8787715738977
677,349.09318649040324
678,355.214419325851
679,355.20180851494837
680,345.26177731616065
681,335.54269076942273
682,334.8168149317493
683,333.98091212810624
684,333.97009073456934
685,333.6373379847704
686,334.3109817950692
687,332.60698477665903
688,332.53752390854174
689,330.39878744400727
690,331.69608647989963
691,332.51466876324423
692,334.1314099358426
693,275.4547490031908
694,271.64822855045486
695,355.0367323278022
696,349.9958683610466
697,348.6852995409931
698,348.10856396322873
699,349.06232345575785
700,350.0737314954696
701,351.05884431409623
702,351.0715922398153
703,352.49877725248
704,351.70479507183853
705,352.31869017380836
706,352.40822126205114
707,353.22873973497076
708,348.2471461924552
709,348.3646944717869
710,359.10682794806564
711,359.1981209460804
712,364.9316706486016
713,273.32068054444284
714,273.7403043066165
715,293.99032427674547
716,293.58601726365225
717,293.2169465105863
718,292.4950536446932
719,291.49696663305315
720,397.2211244224563
721,505.03293313791283
722,544.5537476794126
723,555.7380627092898
724,555.5266649340857
725,554.4159755126908
726,550.4661504787065
727,548.4642006239442
728,552.6047630038304
729,552.5697174880937
730,556.0627412564746
731,553.5615487165661
732,553.1156890257515
733,650.227898853947
734,649.4392000962496
735,656.2479855582401
736,704.2536202883151
737,702.9998422193783
738,714.9800108929477
739,704.2527197933795
740,703.9313073225412
741,705.8184882763968
742,705.9594437220275
743,707.0311492815358
744,710.5498222147113
745,712.0217430356546
746,712.0406405252112
747,712.0658404425728
748,712.1095870589309
749,714.1371783565003
750,714.4659584469863
751,656.3279948662939
752,655.0213073790899
753,636.8453641171616
754,502.34443312519255
755,503.163279716181
756,328.48066293435573
757,96.28601218826927
758,96.2018193169379
759,35.49040541534517
760,35.87904442350711
761,35.73176405690226
762,35.950524888433314
763,36.08928508780085
764,81.46221088889095
765,157.79474553466426
766,337.50879072077305
767,406.6834816421597
768,406.35858207417124
769,405.6740787404084
770,404.92515165473435
771,404.92515165473435
772,404.1222842091072
773,402.9435933275808
774,402.8714419808274
775,402.81663719863434
776,402.1333334806944
777,402.1333334806945
778,402.0592037577632
779,401.78194791931367
780,401.78194791931367
781,401.65013906940163
782,401.7680950505794
783,402.67074042901197
784,355.8823756158985
785,147.33878005880277
786,177.4106043584707
787,207.60877772240985
788,207.89600443612926
789,207.02773586736168
790,207.64741749529583
791,201.75158906842674
792,201.92671711895508
793,201.5367257994107
794,202.02540359627773
795,201.57895725845
796,200.9444069837183
797,200.9444069837183
798,200.4731504029228
799,200.61233916535062
800,201.29455808659745
801,200.7170257917484
802,316.88365107489534
803,317.52917342330886
804,333.9638789152806
805,330.9226972178188
806,330.9283509081206
807,331.3628352541528
808,331.6489282381802
809,332.0284468500325
810,356.11109132763124
811,361.9930561608349
812,362.2045836541166
813,362.47911987427665
814,362.98034825811953
815,363.3495895912857
816,363.57236370454837
817,362.25887138930085
818,361.8683801237487
819,363.1526384369345
820,317.4608126863381
821,316.4369777342032
822,295.57590300409316
823,294.96319900125343
824,301.2306044535827
825,362.5505810637653
826,360.9290883220252
827,359.129159270216
828,338.88190689156653
829,331.20855408095974
830,331.36066991798594
831,331.31899820505976
832,331.32948967995287
833,331.2982778704777
834,331.32948967995287
835,332.40463494748707
836,332.935465874438
837,332.935465874438
