,HR
1525,72.43
1526,72.73
1527,73.0
1528,73.23
1529,73.48
1530,73.73
1531,73.83
1532,73.97
1533,73.87
1534,73.8
1535,73.7
1536,73.63
1537,73.3
1538,73.57
1539,73.8
1540,74.0
1541,74.17
1542,74.4
1543,74.62
1544,74.87
1545,75.12
1546,75.37
1547,75.62
1548,75.88
1549,76.17
1550,76.45
1551,76.6
1552,76.75
1553,76.87
1554,76.92
1555,76.93
1556,76.93
1557,76.9
1558,76.85
1559,76.78
1560,76.68
1561,76.57
1562,76.42
1563,76.23
1564,76.02
1565,75.78
1566,75.53
1567,75.28
1568,75.03
1569,74.78
1570,74.55
1571,74.32
1572,74.08
1573,73.83
1574,73.58
1575,73.35
1576,73.12
1577,72.9
1578,72.67
1579,72.47
1580,72.33
1581,72.25
1582,72.17
1583,72.1
1584,72.03
1585,71.97
1586,71.9
1587,71.82
1588,71.73
1589,71.62
1590,71.52
1591,71.4
1592,71.28
1593,71.15
1594,71.03
1595,70.93
1596,70.82
1597,70.7
1598,70.57
1599,70.45
1600,70.33
1601,70.22
1602,70.12
1603,70.0
1604,69.88
1605,69.77
1606,69.63
1607,69.52
1608,69.4
1609,69.27
1610,69.15
1611,69.03
1612,68.97
1613,68.95
1614,68.98
1615,69.0
1616,69.0
1617,69.0
1618,69.02
1619,69.13
1620,69.23
1621,69.45
1622,69.65
1623,69.85
1624,70.02
1625,70.2
1626,70.4
1627,70.65
1628,70.92
1629,71.2
1630,71.45
1631,71.7
1632,71.98
1633,72.32
1634,72.65
1635,72.95
1636,73.23
1637,73.48
1638,73.73
1639,74.07
1640,74.33
1641,74.57
1642,74.78
1643,74.98
1644,75.25
1645,75.52
1646,75.83
1647,76.13
1648,76.45
1649,76.82
1650,77.22
1651,77.55
1652,77.88
1653,78.27
1654,78.62
1655,78.92
1656,79.23
1657,79.6
1658,79.97
1659,80.32
1660,80.68
1661,81.05
1662,81.4
1663,81.77
1664,82.13
1665,82.47
1666,82.8
1667,83.1
1668,83.37
1669,83.62
1670,83.8
1671,83.97
1672,84.1
1673,84.08
1674,84.07
1675,84.07
1676,84.07
1677,84.08
1678,84.1
1679,84.03
1680,84.0
1681,83.87
1682,83.78
1683,83.7
1684,83.68
1685,83.65
1686,83.62
1687,83.52
1688,83.4
1689,83.25
1690,83.12
1691,82.98
1692,82.82
1693,82.62
1694,82.42
1695,82.25
1696,82.1
1697,81.95
1698,81.8
1699,81.53
1700,81.32
1701,81.1
1702,80.9
1703,80.72
1704,80.47
1705,80.22
1706,79.92
1707,79.65
1708,79.37
1709,79.05
1710,78.68
1711,78.4
1712,78.12
1713,77.8
1714,77.48
1715,77.2
1716,76.9
1717,76.6
1718,76.28
1719,75.97
1720,75.65
1721,75.35
1722,75.05
1723,74.77
1724,74.5
1725,74.25
1726,74.0
1727,73.77
1728,73.55
1729,73.33
1730,73.17
1731,73.02
1732,72.87
1733,72.82
1734,72.75
1735,72.68
1736,72.63
1737,72.58
1738,72.53
1739,72.48
1740,72.45
1741,72.4
1742,72.33
1743,72.27
1744,72.2
1745,72.13
1746,72.05
1747,72.0
1748,71.92
1749,71.83
1750,71.77
1751,71.68
1752,71.58
1753,71.45
1754,71.28
1755,71.15
1756,71.03
1757,70.93
1758,70.85
1759,70.78
1760,70.73
1761,70.7
1762,70.68
1763,70.63
1764,70.58
1765,70.53
1766,70.48
1767,70.42
1768,70.37
1769,70.35
1770,70.33
1771,70.32
1772,70.3
1773,70.25
1774,70.2
1775,70.13
1776,70.07
1777,69.98
1778,69.92
1779,69.85
1780,69.8
1781,69.73
1782,69.68
1783,69.65
1784,69.6
1785,69.58
1786,69.58
1787,69.6
1788,69.62
1789,69.63
1790,69.63
1791,69.62
1792,69.58
1793,69.55
1794,69.5
1795,69.43
1796,69.37
1797,69.28
1798,69.18
1799,69.08
1800,68.98
1801,68.93
1802,68.9
1803,68.83
1804,68.73
1805,68.63
1806,68.52
1807,68.42
1808,68.33
1809,68.28
1810,68.17
1811,68.05
1812,67.95
1813,67.88
1814,67.85
1815,67.77
1816,67.67
1817,67.58
1818,67.5
1819,67.4
1820,67.3
1821,67.18
1822,67.05
1823,66.93
1824,66.82
1825,66.73
1826,66.62
1827,66.52
1828,66.4
1829,66.27
1830,66.15
1831,66.07
1832,66.02
1833,65.98
1834,65.95
1835,65.98
1836,66.05
1837,66.1
1838,66.17
1839,66.23
1840,66.28
1841,66.37
1842,66.48
1843,66.55
1844,66.62
1845,66.67
1846,66.68
1847,66.67
1848,66.62
1849,66.58
1850,66.57
1851,66.57
1852,66.58
1853,66.62
1854,66.65
1855,66.72
1856,66.8
1857,66.9
1858,67.0
1859,67.1
1860,67.22
1861,67.28
1862,67.33
1863,67.45
1864,67.57
1865,67.7
1866,67.87
1867,67.98
1868,68.1
1869,68.17
1870,68.33
1871,68.52
1872,68.65
1873,68.82
1874,68.98
1875,69.17
1876,69.37
1877,69.5
1878,69.62
1879,69.75
1880,69.92
1881,70.13
1882,70.33
1883,70.55
1884,70.75
1885,71.0
1886,71.25
1887,71.47
1888,71.67
1889,71.87
1890,72.05
1891,72.2
1892,72.32
1893,72.33
1894,72.38
1895,72.38
1896,72.35
1897,72.32
1898,72.28
1899,72.25
