dateTime,Heart Rate
01/30/20 15:12:38,66
01/30/20 15:12:48,67
01/30/20 15:12:58,68
01/30/20 15:13:03,69
01/30/20 15:13:13,70
01/30/20 15:13:18,72
01/30/20 15:13:23,73
01/30/20 15:13:28,72
01/30/20 15:13:33,71
01/30/20 15:13:38,71
01/30/20 15:13:53,71
01/30/20 15:14:03,72
01/30/20 15:14:13,75
01/30/20 15:14:23,76
01/30/20 15:14:28,80
01/30/20 15:14:33,83
01/30/20 15:14:38,82
01/30/20 15:14:48,80
01/30/20 15:14:53,78
01/30/20 15:14:58,75
01/30/20 15:15:13,75
01/30/20 15:15:18,76
01/30/20 15:15:28,77
01/30/20 15:15:33,76
01/30/20 15:15:38,73
01/30/20 15:15:48,72
01/30/20 15:16:03,72
01/30/20 15:16:08,73
01/30/20 15:16:23,73
01/30/20 15:16:28,74
01/30/20 15:16:33,75
01/30/20 15:16:38,74
01/30/20 15:16:48,71
01/30/20 15:16:54,67
01/30/20 15:16:59,67
01/30/20 15:17:14,70
01/30/20 15:17:19,78
01/30/20 15:17:24,77
01/30/20 15:17:29,75
01/30/20 15:17:34,75
01/30/20 15:17:44,76
01/30/20 15:17:49,78
01/30/20 15:17:54,77
01/30/20 15:17:59,77
01/30/20 15:18:14,77
01/30/20 15:18:19,76
01/30/20 15:18:24,72
01/30/20 15:18:29,67
01/30/20 15:18:44,67
01/30/20 15:18:49,69
01/30/20 15:18:54,68
01/30/20 15:18:59,67
01/30/20 15:19:09,68
01/30/20 15:19:14,70
01/30/20 15:19:19,71
01/30/20 15:19:29,69
01/30/20 15:19:34,69
01/30/20 15:19:49,69
01/30/20 15:19:51,69
01/30/20 15:20:01,68
01/30/20 15:20:06,67
01/30/20 15:20:11,66
01/30/20 15:20:16,66
01/30/20 15:20:31,66
01/30/20 15:20:36,67
01/30/20 15:20:41,65
01/30/20 15:20:46,64
01/30/20 15:20:51,64
01/30/20 15:20:56,65
01/30/20 15:21:11,65
01/30/20 15:21:21,66
01/30/20 15:21:31,67
01/30/20 15:21:41,66
01/30/20 15:21:46,67
01/30/20 15:21:51,66
01/30/20 15:22:01,68
01/30/20 15:22:16,68
01/30/20 15:22:26,68
01/30/20 15:22:41,68
01/30/20 15:23:07,71
01/30/20 15:23:12,72
01/30/20 15:23:17,71
01/30/20 15:23:32,71
01/30/20 15:23:37,70
01/30/20 15:23:52,70
01/30/20 15:23:57,69
01/30/20 15:24:02,68
01/30/20 15:24:07,67
01/30/20 15:24:12,68
01/30/20 15:24:27,69
01/30/20 15:24:37,70
01/30/20 15:24:52,70
01/30/20 15:25:07,68
01/30/20 15:25:12,67
01/30/20 15:25:17,66
01/30/20 15:25:32,66
01/30/20 15:25:42,67
01/30/20 15:25:47,68
01/30/20 15:25:52,69
01/30/20 15:25:57,70
01/30/20 15:26:02,72
01/30/20 15:26:07,72
01/30/20 15:26:12,70
01/30/20 15:26:17,69
01/30/20 15:26:32,69
01/30/20 15:26:37,72
01/30/20 15:26:42,75
01/30/20 15:26:47,74
01/30/20 15:26:57,75
01/30/20 15:27:02,74
01/30/20 15:27:07,71
01/30/20 15:27:12,68
01/30/20 15:27:17,68
01/30/20 15:27:22,68
01/30/20 15:27:37,68
01/30/20 15:27:52,69
01/30/20 15:28:02,70
01/30/20 15:28:07,71
01/30/20 15:28:12,71
01/30/20 15:28:27,71
01/30/20 15:28:42,70
01/30/20 15:28:47,69
01/30/20 15:28:52,68
01/30/20 15:28:57,67
01/30/20 15:29:07,66
01/30/20 15:29:22,66
01/30/20 15:29:32,66
01/30/20 15:29:37,68
01/30/20 15:29:47,68
01/30/20 15:29:57,69
01/30/20 15:30:02,68
01/30/20 15:30:12,67
01/30/20 15:30:17,68
01/30/20 15:30:22,68
01/30/20 15:30:32,67
01/30/20 15:30:37,68
01/30/20 15:30:52,69
01/30/20 15:31:02,68
01/30/20 15:31:17,68
01/30/20 15:31:22,69
01/30/20 15:31:27,72
01/30/20 15:31:32,72
01/30/20 15:31:37,71
01/30/20 15:31:42,69
01/30/20 15:31:57,71
01/30/20 15:32:02,71
01/30/20 15:32:07,68
01/30/20 15:32:12,66
01/30/20 15:32:17,66
01/30/20 15:32:22,65
01/30/20 15:32:37,66
01/30/20 15:32:52,66
01/30/20 15:32:57,67
01/30/20 15:33:02,70
01/30/20 15:33:07,71
01/30/20 15:33:17,70
01/30/20 15:33:22,69
01/30/20 15:33:27,68
01/30/20 15:33:37,69
01/30/20 15:33:42,68
01/30/20 15:33:47,70
01/30/20 15:33:52,70
01/30/20 15:34:07,70
01/30/20 15:34:22,70
01/30/20 15:34:27,71
01/30/20 15:34:37,70
01/30/20 15:34:52,70
01/30/20 15:34:57,72
01/30/20 15:35:02,70
01/30/20 15:35:07,69
01/30/20 15:35:12,65
01/30/20 15:35:17,64
01/30/20 15:35:27,64
01/30/20 15:35:32,67
01/30/20 15:35:37,69
01/30/20 15:35:47,67
01/30/20 15:35:53,68
01/30/20 15:36:03,68
01/30/20 15:36:08,70
01/30/20 15:36:28,70
01/30/20 15:36:33,71
01/30/20 15:36:43,70
01/30/20 15:36:48,71
01/30/20 15:36:58,72
01/30/20 15:37:08,73
01/30/20 15:37:23,73
01/30/20 15:37:33,72
01/30/20 15:37:38,69
01/30/20 15:37:43,68
01/30/20 15:37:48,66
01/30/20 15:37:58,65
01/30/20 15:38:13,65
01/30/20 15:38:28,65
01/30/20 15:38:43,68
01/30/20 15:38:48,75
01/30/20 15:38:53,75
01/30/20 15:39:08,74
01/30/20 15:39:13,73
01/30/20 15:39:18,72
01/30/20 15:39:28,73
01/30/20 15:39:33,74
01/30/20 15:39:38,75
01/30/20 15:39:53,75
01/30/20 15:40:08,74
01/30/20 15:40:13,74
01/30/20 15:40:28,74
01/30/20 15:40:32,74
01/30/20 15:41:10,73
01/30/20 15:41:25,73
01/30/20 16:07:36,70
01/30/20 16:07:46,76
01/30/20 16:07:51,99
01/30/20 16:07:56,98
01/30/20 16:32:09,70
01/30/20 16:32:53,70
01/30/20 16:32:58,70
01/30/20 16:33:03,104
01/30/20 16:33:22,108
01/30/20 16:33:27,107
01/30/20 16:33:32,101
01/30/20 16:33:54,70
01/30/20 16:33:59,70
01/30/20 16:34:04,105
01/30/20 16:34:09,127
01/30/20 16:34:14,129
01/30/20 16:34:29,129
01/30/20 16:34:39,128
01/30/20 16:34:49,120
01/30/20 16:34:59,126
01/30/20 16:35:04,129
01/30/20 16:35:19,129
01/30/20 16:35:24,127
01/30/20 16:35:29,126
01/30/20 16:35:39,124
01/30/20 16:35:49,125
01/30/20 16:35:54,126
01/30/20 16:36:19,126
01/30/20 16:36:24,125
01/30/20 16:36:39,124
01/30/20 16:36:44,121
01/30/20 16:36:49,120
01/30/20 16:37:04,122
01/30/20 16:37:14,121
01/30/20 16:37:19,120
