,Time,Heart Rate
2164,8:00:02,53
2165,8:00:17,53
2166,8:00:27,54
2167,8:00:32,53
2168,8:00:42,52
2169,8:00:57,51
2170,8:01:07,52
2171,8:01:22,52
2172,8:01:37,53
2173,8:01:47,52
2174,8:02:02,52
2175,8:02:12,51
2176,8:02:17,50
2177,8:02:27,52
2178,8:02:37,53
2179,8:02:52,53
2180,8:02:57,54
2181,8:03:07,53
2182,8:03:17,52
2183,8:03:22,51
2184,8:03:37,51
2185,8:03:47,52
2186,8:04:02,52
2187,8:04:07,53
2188,8:04:12,53
2189,8:04:17,54
2190,8:04:22,53
2191,8:04:37,52
2192,8:04:52,52
2193,8:05:02,53
2194,8:05:17,52
2195,8:05:32,53
2196,8:05:37,52
2197,8:05:52,52
2198,8:06:07,52
2199,8:06:12,53
2200,8:06:27,52
2201,8:06:32,51
2202,8:06:42,52
2203,8:06:52,53
2204,8:07:07,53
2205,8:07:17,54
2206,8:07:32,53
2207,8:07:42,54
2208,8:07:57,54
2209,8:08:02,55
2210,8:08:07,56
2211,8:08:17,55
2212,8:08:32,55
2213,8:08:47,54
2214,8:08:52,53
2215,8:08:57,53
2216,8:09:02,54
2217,8:09:12,53
2218,8:09:27,53
2219,8:09:37,54
2220,8:09:52,55
2221,8:09:57,54
2222,8:10:12,63
2223,8:10:17,69
2224,8:10:22,67
2225,8:10:27,64
2226,8:10:32,60
2227,8:10:37,57
2228,8:10:42,55
2229,8:10:47,53
2230,8:10:52,52
2231,8:11:07,51
2232,8:11:22,51
2233,8:11:37,51
2234,8:11:47,52
2235,8:11:52,53
2236,8:11:57,52
2237,8:12:02,51
2238,8:12:12,52
2239,8:12:27,53
2240,8:12:42,52
2241,8:12:47,52
2242,8:13:02,52
2243,8:13:12,52
2244,8:13:22,53
2245,8:13:27,54
2246,8:13:32,55
2247,8:13:37,54
2248,8:13:42,52
2249,8:13:57,52
2250,8:14:12,52
2251,8:14:27,52
2252,8:14:37,53
2253,8:14:52,53
2254,8:15:07,53
2255,8:15:17,53
2256,8:15:32,53
2257,8:15:37,52
2258,8:15:42,51
2259,8:15:57,51
2260,8:16:07,52
2261,8:16:12,53
2262,8:16:17,52
2263,8:16:22,51
2264,8:16:37,51
2265,8:16:43,51
2266,8:16:48,52
2267,8:16:58,53
2268,8:17:13,53
2269,8:17:23,54
2270,8:17:28,55
2271,8:17:33,54
2272,8:17:43,53
2273,8:17:48,52
2274,8:18:03,52
2275,8:18:08,51
2276,8:18:13,50
2277,8:18:23,51
2278,8:18:33,52
2279,8:18:48,53
2280,8:18:53,55
2281,8:18:58,54
2282,8:19:03,53
2283,8:19:13,52
2284,8:19:28,51
2285,8:19:33,52
2286,8:19:38,53
2287,8:19:43,52
2288,8:19:58,52
2289,8:20:03,52
2290,8:20:08,52
2291,8:20:23,52
2292,8:20:28,52
2293,8:20:33,53
2294,8:20:38,52
2295,8:20:43,51
2296,8:20:58,51
2297,8:21:03,52
2298,8:21:13,53
2299,8:21:23,52
2300,8:21:33,53
2301,8:21:38,52
2302,8:21:43,51
2303,8:21:58,52
2304,8:22:13,52
2305,8:22:18,51
2306,8:22:23,50
2307,8:22:38,51
2308,8:22:53,51
2309,8:23:03,50
2310,8:23:18,50
2311,8:23:28,51
2312,8:23:43,51
2313,8:23:53,50
2314,8:24:03,51
2315,8:24:08,52
2316,8:24:18,51
2317,8:24:33,52
2318,8:24:48,52
2319,8:24:53,52
2320,8:25:03,51
2321,8:25:08,50
2322,8:25:23,50
2323,8:25:38,50
2324,8:25:43,51
2325,8:25:58,52
2326,8:26:08,51
2327,8:26:13,50
2328,8:26:23,51
2329,8:26:33,62
2330,8:26:38,70
2331,8:26:43,66
2332,8:26:48,61
2333,8:26:53,58
2334,8:26:58,56
2335,8:27:03,54
2336,8:27:18,53
2337,8:27:23,52
2338,8:27:33,51
2339,8:27:43,50
2340,8:27:53,51
2341,8:27:58,52
2342,8:28:13,52
2343,8:28:18,51
2344,8:28:24,51
2345,8:28:34,52
2346,8:28:44,53
2347,8:28:49,52
2348,8:28:54,51
2349,8:28:59,52
2350,8:29:04,53
2351,8:29:09,51
2352,8:29:14,49
2353,8:29:19,50
2354,8:29:34,51
2355,8:29:49,51
2356,8:29:54,52
2357,8:29:59,53
2358,8:30:04,52
2359,8:30:14,51
2360,8:30:29,51
2361,8:30:44,51
2362,8:30:49,50
2363,8:30:54,49
2364,8:30:59,50
2365,8:31:04,51
2366,8:31:19,52
2367,8:31:34,53
2368,8:31:39,51
2369,8:31:44,50
2370,8:31:59,50
2371,8:32:04,51
2372,8:32:19,51
2373,8:32:34,52
2374,8:32:49,51
2375,8:33:04,51
2376,8:33:19,51
2377,8:33:34,51
2378,8:33:44,52
2379,8:33:49,51
2380,8:33:54,52
2381,8:34:09,52
2382,8:34:24,52
2383,8:34:34,51
2384,8:34:39,50
2385,8:34:54,51
2386,8:35:09,51
2387,8:35:24,51
2388,8:35:29,52
2389,8:35:44,51
2390,8:35:54,50
2391,8:35:59,49
2392,8:36:04,50
2393,8:36:09,51
2394,8:36:24,52
2395,8:36:29,50
2396,8:36:44,50
2397,8:36:59,50
2398,8:37:04,51
2399,8:37:09,52
2400,8:37:14,51
2401,8:37:24,52
2402,8:37:39,53
2403,8:37:49,52
2404,8:38:04,52
2405,8:38:14,51
2406,8:38:29,51
2407,8:38:34,52
2408,8:38:39,53
2409,8:38:44,52
2410,8:38:59,52
2411,8:39:04,51
2412,8:39:19,50
2413,8:39:29,51
2414,8:39:39,52
2415,8:39:54,52
2416,8:39:59,51
2417,8:40:14,52
2418,8:40:19,52
2419,8:40:29,53
2420,8:40:34,64
2421,8:40:39,69
2422,8:40:44,68
2423,8:40:49,65
2424,8:40:54,60
2425,8:40:59,56
2426,8:41:04,54
2427,8:41:09,53
2428,8:41:19,51
2429,8:41:24,50
2430,8:41:39,49
2431,8:41:44,50
2432,8:41:49,49
2433,8:42:04,50
2434,8:42:14,49
2435,8:42:29,49
2436,8:42:44,49
2437,8:42:59,49
2438,8:43:04,48
2439,8:43:14,47
2440,8:43:29,47
2441,8:43:34,48
2442,8:43:39,49
2443,8:43:49,48
2444,8:43:59,50
2445,8:44:04,49
2446,8:44:19,48
2447,8:44:29,47
2448,8:44:39,48
2449,8:44:49,47
2450,8:44:54,46
2451,8:44:59,46
2452,8:45:14,46
2453,8:45:19,48
2454,8:45:24,49
2455,8:45:29,48
2456,8:45:44,48
2457,8:45:54,49
2458,8:45:59,48
2459,8:46:04,47
2460,8:46:19,47
2461,8:46:34,47
2462,8:46:49,46
2463,8:46:59,48
2464,8:47:09,49
2465,8:47:24,49
2466,8:47:34,48
2467,8:47:49,47
2468,8:47:54,49
2469,8:48:09,49
2470,8:48:24,49
2471,8:48:34,49
2472,8:48:49,49
2473,8:48:54,50
2474,8:49:04,53
2475,8:49:09,56
2476,8:49:14,55
2477,8:49:19,56
2478,8:49:25,55
2479,8:49:30,55
2480,8:49:35,54
2481,8:49:40,52
2482,8:49:45,51
2483,8:49:55,52
2484,8:50:00,51
2485,8:50:15,51
2486,8:50:20,50
